id,name,type,parentId
211400,葫芦岛市,3,210000
220000,吉林省,2,1
220100,长春市,3,220000
220200,吉林市,3,220000
220300,四平市,3,220000
220400,辽源市,3,220000
220500,通化市,3,220000
220600,白山市,3,220000
220700,松原市,3,220000
220800,白城市,3,220000
230000,黑龙江省,2,1
230100,哈尔滨市,3,230000
230200,齐齐哈尔市,3,230000
230300,鸡西市,3,230000
230400,鹤岗市,3,230000
230500,双鸭山市,3,230000
230600,大庆市,3,230000
230700,伊春市,3,230000
230800,佳木斯市,3,230000
230900,七台河市,3,230000
231000,牡丹江市,3,230000
231100,黑河市,3,230000
231200,绥化市,3,230000
310000,上海市,2,1
310100,上海市,3,310000
310101,黄浦区,4,310100
310104,徐汇区,4,310100
310105,长宁区,4,310100
310106,静安区,4,310100
310107,普陀区,4,310100
310109,虹口区,4,310100
310110,杨浦区,4,310100
310112,闵行区,4,310100
310113,宝山区,4,310100
310114,嘉定区,4,310100
310115,浦东新区,4,310100
310116,金山区,4,310100
310117,松江区,4,310100
310118,青浦区,4,310100
310120,奉贤区,4,310100
310151,崇明区,4,310100
320000,江苏省,2,1
320100,南京市,3,320000
320200,无锡市,3,320000
320300,徐州市,3,320000
320400,常州市,3,320000
320500,苏州市,3,320000
320600,南通市,3,320000
320700,连云港市,3,320000
320800,淮安市,3,320000
320900,盐城市,3,320000
321000,扬州市,3,320000
321100,镇江市,3,320000
321200,泰州市,3,320000
321300,宿迁市,3,320000
330000,浙江省,2,1
330100,杭州市,3,330000
330200,宁波市,3,330000
330300,温州市,3,330000
330400,嘉兴市,3,330000
330500,湖州市,3,330000
330600,绍兴市,3,330000
330700,金华市,3,330000
330800,衢州市,3,330000
330900,舟山市,3,330000
331000,台州市,3,330000
331100,丽水市,3,330000
340000,安徽省,2,1
340100,合肥市,3,340000
340200,芜湖市,3,340000
340300,蚌埠市,3,340000
340400,淮南市,3,340000
340500,马鞍山市,3,340000
340600,淮北市,3,340000
340700,铜陵市,3,340000
340800,安庆市,3,340000
341000,黄山市,3,340000
341100,滁州市,3,340000
341200,阜阳市,3,340000
341300,宿州市,3,340000
341500,六安市,3,340000
341600,亳州市,3,340000
341700,池州市,3,340000
341800,宣城市,3,340000
350000,福建省,2,1
350100,福州市,3,350000
350200,厦门市,3,350000
350300,莆田市,3,350000
350400,三明市,3,350000
350500,泉州市,3,350000
350600,漳州市,3,350000
350700,南平市,3,350000
350800,龙岩市,3,350000
350900,宁德市,3,350000
360000,江西省,2,1
360100,南昌市,3,360000
360200,景德镇市,3,360000
360300,萍乡市,3,360000
360400,九江市,3,360000
360500,新余市,3,360000
360600,鹰潭市,3,360000
360700,赣州市,3,360000
360800,吉安市,3,360000
360900,宜春市,3,360000
361000,抚州市,3,360000
361100,上饶市,3,360000
370000,山东省,2,1
370100,济南市,3,370000
370200,青岛市,3,370000
370300,淄博市,3,370000
370400,枣庄市,3,370000
370500,东营市,3,370000
370600,烟台市,3,370000
370700,潍坊市,3,370000
370800,济宁市,3,370000
370900,泰安市,3,370000
371000,威海市,3,370000
371100,日照市,3,370000
371300,临沂市,3,370000
371400,德州市,3,370000
371500,聊城市,3,370000
371600,滨州市,3,370000
371700,菏泽市,3,370000
410000,河南省,2,1
410100,郑州市,3,410000
410200,开封市,3,410000
410300,洛阳市,3,410000
410400,平顶山市,3,410000
410500,安阳市,3,410000
410600,鹤壁市,3,410000
410700,新乡市,3,410000
410800,焦作市,3,410000
410900,濮阳市,3,410000
411000,许昌市,3,410000
411100,漯河市,3,410000
411200,三门峡市,3,410000
411300,南阳市,3,410000
411400,商丘市,3,410000
411500,信阳市,3,410000
411600,周口市,3,410000
411700,驻马店市,3,410000
420000,湖北省,2,1
420100,武汉市,3,420000
420200,黄石市,3,420000
420300,十堰市,3,420000
420500,宜昌市,3,420000
420600,襄阳市,3,420000
420700,鄂州市,3,420000
420800,荆门市,3,420000
420900,孝感市,3,420000
421000,荆州市,3,420000
421100,黄冈市,3,420000
421200,咸宁市,3,420000
421300,随州市,3,420000
422800,恩施土家族苗族自治州,3,420000
430000,湖南省,2,1
430100,长沙市,3,430000
430200,株洲市,3,430000
430300,湘潭市,3,430000
430400,衡阳市,3,430000
430500,邵阳市,3,430000
430600,岳阳市,3,430000
430700,常德市,3,430000
430800,张家界市,3,430000
430900,益阳市,3,430000
431000,郴州市,3,430000
431100,永州市,3,430000
431200,怀化市,3,430000
431300,娄底市,3,430000
433100,湘西土家族苗族自治州,3,430000
440000,广东省,2,1
440100,广州市,3,440000
440200,韶关市,3,440000
440300,深圳市,3,440000
440400,珠海市,3,440000
440500,汕头市,3,440000
440600,佛山市,3,440000
440700,江门市,3,440000
440800,湛江市,3,440000
440900,茂名市,3,440000
441200,肇庆市,3,440000
441300,惠州市,3,440000
441400,梅州市,3,440000
441500,汕尾市,3,440000
441600,河源市,3,440000
441700,阳江市,3,440000
441800,清远市,3,440000
441900,东莞市,3,440000
442000,中山市,3,440000
445100,潮州市,3,440000
445200,揭阳市,3,440000
445300,云浮市,3,440000
450000,广西壮族自治区,2,1
450100,南宁市,3,450000
450200,柳州市,3,450000
450300,桂林市,3,450000
450400,梧州市,3,450000
450500,北海市,3,450000
450600,防城港市,3,450000
450700,钦州市,3,450000
450800,贵港市,3,450000
450900,玉林市,3,450000
451000,百色市,3,450000
451100,贺州市,3,450000
451200,河池市,3,450000
451300,来宾市,3,450000
451400,崇左市,3,450000
460000,海南省,2,1
460100,海口市,3,460000
460200,三亚市,3,460000
460300,三沙市,3,460000
460400,儋州市,3,460000
500000,重庆市,2,1
500100,重庆市,3,500000
500101,万州区,4,500100
500102,涪陵区,4,500100
500103,渝中区,4,500100
500104,大渡口区,4,500100
500105,江北区,4,500100
500106,沙坪坝区,4,500100
500107,九龙坡区,4,500100
500108,南岸区,4,500100
500109,北碚区,4,500100
500110,綦江区,4,500100
500111,大足区,4,500100
500112,渝北区,4,500100
500113,巴南区,4,500100
500114,黔江区,4,500100
500115,长寿区,4,500100
500116,江津区,4,500100
500117,合川区,4,500100
500118,永川区,4,500100
500119,南川区,4,500100
500120,璧山区,4,500100
500151,铜梁区,4,500100
500152,潼南区,4,500100
500153,荣昌区,4,500100
500154,开州区,4,500100
500155,梁平区,4,500100
500156,武隆区,4,500100
510000,四川省,2,1
510100,成都市,3,510000
510300,自贡市,3,510000
510400,攀枝花市,3,510000
510500,泸州市,3,510000
510600,德阳市,3,510000
510700,绵阳市,3,510000
510800,广元市,3,510000
510900,遂宁市,3,510000
511000,内江市,3,510000
511100,乐山市,3,510000
511300,南充市,3,510000
511400,眉山市,3,510000
511500,宜宾市,3,510000
511600,广安市,3,510000
511700,达州市,3,510000
511800,雅安市,3,510000
511900,巴中市,3,510000
512000,资阳市,3,510000
513200,阿坝藏族羌族自治州,3,510000
513300,甘孜藏族自治州,3,510000
513400,凉山彝族自治州,3,510000
520000,贵州省,2,1
520100,贵阳市,3,520000
520200,六盘水市,3,520000
520300,遵义市,3,520000
520400,安顺市,3,520000
520500,毕节市,3,520000
520600,铜仁市,3,520000
522300,黔西南布依族苗族自治州,3,520000
522600,黔东南苗族侗族自治州,3,520000
522700,黔南布依族苗族自治州,3,520000
530000,云南省,2,1
530100,昆明市,3,530000
530300,曲靖市,3,530000
530400,玉溪市,3,530000
530500,保山市,3,530000
530600,昭通市,3,530000
530700,丽江市,3,530000
530800,普洱市,3,530000
530900,临沧市,3,530000
532300,楚雄彝族自治州,3,530000
532500,红河哈尼族彝族自治州,3,530000
532600,文山壮族苗族自治州,3,530000
532800,西双版纳傣族自治州,3,530000
532900,大理白族自治州,3,530000
533100,德宏傣族景颇族自治州,3,530000
533300,怒江傈僳族自治州,3,530000
533400,迪庆藏族自治州,3,530000
540000,西藏自治区,2,1
540100,拉萨市,3,540000
540200,日喀则市,3,540000
540300,昌都市,3,540000
540400,林芝市,3,540000
540500,山南市,3,540000
540600,那曲市,3,540000
542500,阿里地区,3,540000
610000,陕西省,2,1
610100,西安市,3,610000
610200,铜川市,3,610000
610300,宝鸡市,3,610000
610400,咸阳市,3,610000
610500,渭南市,3,610000
610600,延安市,3,610000
610700,汉中市,3,610000
610800,榆林市,3,610000
610900,安康市,3,610000
611000,商洛市,3,610000
620000,甘肃省,2,1
620100,兰州市,3,620000
620200,嘉峪关市,3,620000
620300,金昌市,3,620000
620400,白银市,3,620000
620500,天水市,3,620000
620600,武威市,3,620000
620700,张掖市,3,620000
620800,平凉市,3,620000
620900,酒泉市,3,620000
621000,庆阳市,3,620000
621100,定西市,3,620000
621200,陇南市,3,620000
622900,临夏回族自治州,3,620000
623000,甘南藏族自治州,3,620000
630000,青海省,2,1
630100,西宁市,3,630000
630200,海东市,3,630000
632200,海北藏族自治州,3,630000
632300,黄南藏族自治州,3,630000
632500,海南藏族自治州,3,630000
632600,果洛藏族自治州,3,630000
632700,玉树藏族自治州,3,630000
632800,海西蒙古族藏族自治州,3,630000
640000,宁夏回族自治区,2,1
640100,银川市,3,640000
640200,石嘴山市,3,640000
640300,吴忠市,3,640000
640400,固原市,3,640000
640500,中卫市,3,640000
650000,新疆维吾尔自治区,2,1
650100,乌鲁木齐市,3,650000
650200,克拉玛依市,3,650000
650400,吐鲁番市,3,650000
650500,哈密市,3,650000
652300,昌吉回族自治州,3,650000
652700,博尔塔拉蒙古自治州,3,650000
652800,巴音郭楞蒙古自治州,3,650000
652900,阿克苏地区,3,650000
653000,克孜勒苏柯尔克孜自治州,3,650000
653100,喀什地区,3,650000
653200,和田地区,3,650000
654000,伊犁哈萨克自治州,3,650000
654200,塔城地区,3,650000
654300,阿勒泰地区,3,650000
810000,香港特别行政区,2,1
820000,澳门特别行政区,2,1
830000,台湾省,2,1
